DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
9/13/16,214.84,215.15,212.5,213.23,1,3.55,0.06,2.1761,1.5031,0.94,20.38,5.8,0.9,-0.15,B,1.37,20.36,53.3914,26.22,-6.1017,183961298327,-5.2958,16,9,13,2
9/14/16,213.29,214.7,212.5,213.15,1,3.56,0.06,2.1785,1.4984,0.94,20.73,5.41,0.91,-0.15,I,1.37,20.36,40.0435,24.82,-5.7102,182877107699,-6.3696,16,9,14,3
9/15/16,212.96,215.73,212.75,215.28,1,3.56,0.06,2.2587,1.4927,0.9,20.4,5.5,0.89,-0.15,B,1.44,20.36,39.0583,23.42,-2.7578,184907548209,-2.7023,16,9,15,4
9/16/16,213.48,213.69,212.57,213.37,1,3.57,0.07,2.3038,1.4867,0.86,20.13,5.87,0.87,-0.16,B,1.47,20.36,33.2374,21.84,-4.0048,183080548211,-4.5008,16,9,16,5
9/19/16,214.13,214.88,213.03,213.41,1,3.57,0.07,2.2584,1.4813,0.87,19.93,5.94,0.86,-0.16,B,1.44,20.36,35.3277,20.76,-1.9554,183786957417,-2.9894,16,9,19,1
9/20/16,214.41,214.59,213.38,213.42,1,3.56,0.07,2.1536,1.4788,0.88,20.08,5.61,0.87,-0.16,B,1.44,20.36,34.887,19.56,-2.4643,183135179758,-3.8674,16,9,20,2
9/21/16,214.24,216.03,213.44,215.82,1,3.56,0.07,2.1992,1.4776,0.8,19.98,1.82,0.87,-0.17,B,1.53,20.36,47.7527,19.5,1.1923,185960451259,0.3296,16,9,21,3
9/22/16,217.0,217.53,216.71,217.18,1,3.55,0.07,2.1503,1.4768,0.75,19.58,2.12,0.86,-0.17,B,1.57,20.36,60.8145,20.2,3.9392,187791388963,2.6748,16,9,22,4
9/23/16,216.72,216.88,215.88,215.99,1,3.54,0.07,2.0653,1.4763,0.77,19.68,2.27,0.87,-0.18,B,1.19,20.31,65.7696,20.19,1.3662,186509881475,0.0193,16,9,23,5
9/26/16,215.02,215.23,214.01,214.24,1,3.53,0.07,2.0567,1.4747,0.84,19.78,2.37,0.88,-0.19,B,1.08,20.15,63.465,19.44,-1.2633,185157615475,-2.3761,16,9,26,1
